,Start Time,Period (min),NE Name,BSC6910UCell,VS.HSDPA.MeanChThroughput (kbit/s),HSDPA_Data_Volume_MB (MB),Cell Availability (%),Overall Accessibility Success Rate PS Interactive EUL (%) (%),Max HSDPA UE (None),Mean HSDPA UE (None),cluster,,,,,,
149,2/18/2021 0:00,60,DRH38,"Label=GPKLG08HA, CellID=11676, LogicRNCID=838",2018.556,1355.499,100,98.755,14,6.719,1,,,,,,
150,2/18/2021 0:00,60,DRH38,"Label=GPKPS10WB, CellID=50696, LogicRNCID=838",1447.775,486.826,100,99.644,10,5.55,1,,,,,,
151,2/18/2021 0:00,60,DRH38,"Label=GPKPS10HC, CellID=11695, LogicRNCID=838",2136.637,393.082,100,100,10,4.633,2,,,,,,
152,2/18/2021 0:00,60,DRH38,"Label=GPKPS10HA, CellID=11693, LogicRNCID=838",2551.335,599.63,100,100,10,5.438,1,,,,,,
153,2/18/2021 0:00,60,DRH38,"Label=GPKLG25HB, CellID=11697, LogicRNCID=838",1330.244,735.969,100,100,11,5.961,1,,,,,,
154,2/18/2021 0:00,60,DRH38,"Label=GPKLG25WC, CellID=50736, LogicRNCID=838",1007.272,304.469,100,99.716,11,5.075,1,,,,,,
155,2/18/2021 0:00,60,DRH38,"Label=GPKLG25WA, CellID=50731, LogicRNCID=838",2370.209,254.18,100,100,7,2.785,2,,,,,,
156,2/18/2021 0:00,60,DRH38,"Label=GPKLG18HC, CellID=11684, LogicRNCID=838",1860.129,123.159,100,100,6,1.625,2,,,,,,
157,2/18/2021 0:00,60,DRH38,"Label=GPKLG18WC, CellID=50592, LogicRNCID=838",2065.321,136.368,100,100,5,1.571,2,,,,,,
158,2/18/2021 0:00,60,DRH38,"Label=GPKLG18WB, CellID=50591, LogicRNCID=838",7822.956,745.449,100,100,3,0.954,2,,,,,,
159,2/18/2021 0:00,60,DRH38,"Label=NSSDR50WA, CellID=50988, LogicRNCID=838",1333.742,370.06,100,100,4,2.16,2,,,,,,
160,2/18/2021 0:00,60,DRH38,"Label=NSSDR50HB, CellID=42450, LogicRNCID=838",3908.046,228.391,100,100,6,1.729,2,,,,,,
161,2/18/2021 0:00,60,DRH38,"Label=NSSDR50WC, CellID=24499, LogicRNCID=838",323.496,0.992,100,100,2,0.074,2,,,,,,
162,2/18/2021 0:00,60,DRH38,"Label=NSSDR42WE, CellID=3041, LogicRNCID=838",1367.259,1211.645,100,98.346,25,12.215,0,,,,,,
163,2/18/2021 0:00,60,DRH38,"Label=NSSDR42WD, CellID=3040, LogicRNCID=838",1375.536,764.866,100,99.574,15,9.104,1,,,,,,
164,2/18/2021 0:00,60,DRH38,"Label=NSSDR42HD, CellID=3032, LogicRNCID=838",1392.95,648.135,100,99.327,16,8.828,1,,,,,,
165,2/18/2021 0:00,60,DRH38,"Label=NSSDR37HE, CellID=3030, LogicRNCID=838",1971.757,418.561,100,100,9,4.801,2,,,,,,
